submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemNr,justification,languages,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trialNR
4175,40,none,association,Graduated College,173793,1659698580273,1659698406480,male,spaceColony,1,NA,English,5e5521580ee1b951df544c3c,62ecfce3f54e01215d15b3e8,62e8e1ca5c8e225c556e0af8,only xeliherb,99582,0
4175,40,none,association,Graduated College,173793,1659698580273,1659698406480,male,spaceColony,1,Providing we can produce the required amount for our needs there is no need to use resources to cultivate another crop ,English,5e5521580ee1b951df544c3c,62ecfce3f54e01215d15b3e8,62e8e1ca5c8e225c556e0af8,NA,47692,1
4179,50,,commonCause,Higher degree,222769,1659698634561,1659698411792,male,spaceColony,1,NA,English,6234b3775193f8e94ee8c626,62ecfce98040abefc6ec5122,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,56414,0
4179,50,,commonCause,Higher degree,222769,1659698634561,1659698411792,male,spaceColony,1,The plant is vital to survival therefore to give ourselves the best chance of survival we need to grow both types of plant.  We can't be cutting corners or trying to save resources on this particular requirement.,English,6234b3775193f8e94ee8c626,62ecfce98040abefc6ec5122,62e8e1ca5c8e225c556e0af8,NA,138667,1
4185,40,,deniedCausation,Graduated College,62581,1659698693502,1659698630921,female,spaceColony,1,NA,English,5be1aac8ca095c0001b9f6e4,62ecfdc27714fba34790ad92,62e8e1ca5c8e225c556e0af8,only xeliherb,27065,0
4185,40,,deniedCausation,Graduated College,62581,1659698693502,1659698630921,female,spaceColony,1,If there's no evidence of the additional crop being of benefit then there's no need to expend the resources.,English,5be1aac8ca095c0001b9f6e4,62ecfdc27714fba34790ad92,62e8e1ca5c8e225c556e0af8,NA,23288,1
4215,43,,association,Higher degree,106763,1659698748500,1659698641737,female,spaceColony,1,NA,english,59431391f236120001ecf2ca,62ecfdccde5a41d85ad3920d,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,25977,0
4215,43,,association,Higher degree,106763,1659698748500,1659698641737,female,spaceColony,1,because you get a good yeild of the one you want. It doesnt say the things needed to grow the second herb are in short suppy so why would you not grow both?,english,59431391f236120001ecf2ca,62ecfdccde5a41d85ad3920d,62e8e1ca5c8e225c556e0af8,NA,53180,1
4218,41,,deniedCausation,Higher degree,102345,1659698752969,1659698650624,male,spaceColony,1,NA,English,5ecd49233f464e08bf0e4c50,62ecfdd765bc7aef33bfb97b,62e8e1ca5c8e225c556e0af8,only xeliherb,59432,0
4218,41,,deniedCausation,Higher degree,102345,1659698752969,1659698650624,male,spaceColony,1,"Given there is no link between the prevalence of the two, it doesn't seem to make sense to waste resources on something that is likely not to work.",English,5ecd49233f464e08bf0e4c50,62ecfdd765bc7aef33bfb97b,62e8e1ca5c8e225c556e0af8,NA,26905,1
