submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemNr,languages,prolific_pid,prolific_session_id,prolific_study_id,decision,responseTimeDecision,trialNR,justification,responseTimeJustifcation,version
4085,24,NA,deniedCausation,Higher degree,105914,1659437224669,1659437118755,female,spaceColony,1,Setswana,60954946b22b59747d00217e,62e90037498e78a0e7228fd7,62e8e1ca5c8e225c556e0af8,both,39075,0,Even though there is no evidence that the other plant is better I think it's better to caltivate both plants.,46702,pilot-1a
4084,41,NA,deniedCausation,Graduated College,87708,1659437203775,1659437116067,female,spaceColony,1,English,62ce9f8fac0a19a8ac19ccbc,62e90036cddec6e8ae0211a2,62e8e1ca5c8e225c556e0af8,both,32737,0,I would choose both as there is a better chance of crops to choose from,23367,pilot-1a
4083,32,NA,deniedCausation,Graduated College,859853,1659436960762,1659436100909,female,spaceColony,1,English,5f5f5013f947f6000bd8ddcb,62e8fb6785a8b2bbc0e342b4,62e8e1ca5c8e225c556e0af8,both,435848,0,"It is better to be safe than sorry, i.e. if both substances together seem to produce a higher yield, despite there being no concrete evidence that the second one has any effect on the first, it seems logical to use both just in case.",342086,pilot-1a
4082,38,Best of luck,deniedCausation,Graduated College,100326,1659436319091,1659436218765,female,spaceColony,1,English,5b743152fd718d00013d2014,62e8fb6a044ed42be75a8d88,62e8e1ca5c8e225c556e0af8,both,34338,0,It would be better to err on side of caution in case there is a correlation between the two.,37877,pilot-1a
4081,28,no,deniedCausation,Higher degree,267224,1659436208277,1659435941053,female,spaceColony,1,english,60aad516e34718d318bfb44d,62e8fb6e975eb3b30624b5de,62e8e1ca5c8e225c556e0af8,single,109496,0,"I chose to cultivate only xeliherb because there was no evidence that the other type of plant would help cultivate a better xeliherb. So, i did not want to waste my time and efforts.",85598,pilot-1a
4080,38,NA,deniedCausation,Graduated College,282957,1659436187003,1659435904046,male,spaceColony,1,Zulu,601689ee246e5121a41fb230,62e8fb771d0c94a199c9f883,62e8e1ca5c8e225c556e0af8,both,68802,0,up until I know that can thrive without another I will grow both plants because from what I know is that they will be a high yield when they coexist.,142210,pilot-1a
4079,35,NA,deniedCausation,Graduated College,299724,1659436167610,1659435867886,male,spaceColony,1,English,5c7ff97ff94c350001c19cd6,62e8fb5890e589b401087ff9,62e8e1ca5c8e225c556e0af8,both,244953,0,"Always good to explore, so if that was the only way to do it. You might as well, not harming the other planet",38154,pilot-1a
4078,56,Good luck with your research!,deniedCausation,Higher degree,260036,1659436166713,1659435906677,female,spaceColony,1,English,5d667a1a3741ea0001c719b9,62e8fb7c4aaa267ace24b5bc,62e8e1ca5c8e225c556e0af8,single,63740,0,"Xeliherb is essential for life on planet, regardless of yield.  If there is no direct proof growing the other will increase yield, why waste the field space with the second plant?",54150,pilot-1a
4077,22,NA,deniedCausation,Higher degree,217556,1659436134015,1659435916459,female,spaceColony,1,"English, Zulu",60a5a599bbb27be1974dae25,62e8fb7d9fc2d5c00921511d,62e8e1ca5c8e225c556e0af8,both,91985,0,I would take that chance just to see if it would yeild me the desired results as opposed to not trying at all.,73597,pilot-1a
4076,23,NA,deniedCausation,Graduated High-school,243531,1659436122113,1659435878582,male,spaceColony,1,English,60460256be7c58000ad5f8de,62e8fb5dde02846b67afea5e,62e8e1ca5c8e225c556e0af8,single,3365,0,Because there's still a lot to learn and by learning I have to horn my skills,217163,pilot-1a
4075,45,The study is quite interesting.,deniedCausation,Higher degree,220318,1659436166233,1659435945915,female,spaceColony,1,IsiXhosa & English,60ad5baa456e511fb21ba8fb,62e8fb6ba7c681205908805a,62e8e1ca5c8e225c556e0af8,both,70718,0,I would take my chances as long as it will not cause any harm to the other plant.,41329,pilot-1a
4074,29,NA,deniedCausation,Higher degree,201644,1659436118755,1659435917111,female,spaceColony,1,English,5e7f978759c243033154a18f,62e8fb7bf925492f45204b4d,62e8e1ca5c8e225c556e0af8,both,57865,0,Higher yield of first plant required for the humans,114603,pilot-1a
4073,40,NA,deniedCausation,Graduated High-school,193820,1659436096769,1659435902949,female,spaceColony,1,English,5e67bcf03f8a34063871ba27,62e8fb7c48f3853a8fc9f82c,62e8e1ca5c8e225c556e0af8,both,45597,0,"The evidence seems anecdotal? Just because there is no evidence yet does not mean there is not some connection. If later it is proven the second crop is actually not helpful, then no harm is done. If it does help, then the reason can still yet b discovered.",125179,pilot-1a
4072,65,NA,deniedCausation,Graduated College,159616,1659436081001,1659435921385,male,spaceColony,1,English,5ec25b6df4cd5202a0cebb0b,62e8fb7dc5b4d277d460db1b,62e8e1ca5c8e225c556e0af8,both,59973,0,It seems evident that cultivating both would be more likely to ensure the continued survival of xeliherb,62941,pilot-1a
4071,40,NA,deniedCausation,Graduated College,169697,1659436065918,1659435896221,female,spaceColony,1,English,5d53bf0c2ebe880001a473d2,62e8fb6937b97419d8b3bf22,62e8e1ca5c8e225c556e0af8,both,65945,0,As there seems to be a positive association with the 2 together in the natural environment I would cultivate both so that could continue and hopefully provide better yields,66983,pilot-1a
4070,35,NA,deniedCausation,Graduated High-school,175500,1659436062613,1659435887113,female,spaceColony,1,English,5915e5c6405db80001f30ff1,62e8fb601b3c876e8324d537,62e8e1ca5c8e225c556e0af8,single,87124,0,This is the most important crop that the people need and there is no evidence that the other crop is needed or does anything to help this crop grow so I would just grow the crop that is needed,58826,pilot-1a
4069,21,NA,deniedCausation,Graduated High-school,185097,1659436062906,1659435877809,male,spaceColony,1,"Polish, English",5f54c0a38bb76c834ad45653,62e8fb622cc7f926a68402ff,62e8e1ca5c8e225c556e0af8,both,55933,0,"Because there are no 
consequences to cultivate both of them.",94249,pilot-1a
4068,34,NA,deniedCausation,Graduated College,153752,1659436058698,1659435904946,female,spaceColony,1,English,5d6f6294e0207600167e2382,62e8fb7bcd946bf9c30211af,62e8e1ca5c8e225c556e0af8,single,100592,0,I would only take what I need.,28802,pilot-1a
4067,52,No comment,deniedCausation,Higher degree,164748,1659436052444,1659435887696,male,spaceColony,1,English,5f9558cbb4a1a902fb6902e5,62e8fb66362de64fab26e6ef,62e8e1ca5c8e225c556e0af8,both,79157,0,The reason for choosing both is that they both could be used for the benefits of the colonists,55846,pilot-1a
4066,28,NA,deniedCausation,Higher degree,93159,1659436051223,1659435958064,male,spaceColony,1,English,5e78e8c6593bf50831f704b8,62e8fb7919a1072f7506de27,62e8e1ca5c8e225c556e0af8,both,18153,0,I would go with this plant as its likely to be able to keep everyone fed as the other one isn't proven yet.,54374,pilot-1a
4065,59,NA,deniedCausation,Graduated High-school,151420,1659436043891,1659435892471,male,spaceColony,1,English,5c7e33aa19b8d40017e6dd80,62e8fb6ce0ecd76b20228fc0,62e8e1ca5c8e225c556e0af8,single,111579,0,Based on evidence,13989,pilot-1a
4064,52,NA,deniedCausation,Higher degree,110214,1659436038496,1659435928282,male,spaceColony,1,English,5ee7606915ecab01d42ddde6,62e8fb9000c5da5cc8acb96d,62e8e1ca5c8e225c556e0af8,both,39150,0,"If there is evidence that the yield is better, even without concrete proof, I would grow both to hedge my bets.",48145,pilot-1a
4063,31,None,deniedCausation,Graduated College,129099,1659436039680,1659435910581,female,spaceColony,1,English,5c9905852b26210017a28b54,62e8fb790ca1a763eae5aaa3,62e8e1ca5c8e225c556e0af8,single,32900,0,There is no evidence that suggests cultivating ralocrop would cause a better yield of xeliherb so i think it would just be a waste of time and would prefer to concentrate on cultivating xeliherb as its essential to survival.,74307,pilot-1a
4062,55,NA,deniedCausation,Graduated College,123147,1659436035967,1659435912820,female,spaceColony,1,English,5a95d013f6dfdd0001ea60be,62e8fb7e97b52ed01e228fd2,62e8e1ca5c8e225c556e0af8,both,36378,0,"I think you would have nothing to lose by doing both, I would give it a try.",48496,pilot-1a
4061,23,NA,deniedCausation,Graduated High-school,122889,1659436029278,1659435906389,male,spaceColony,1,English,60b5e7d1c80820b660a15282,62e8fb6a044ed42be75a8d87,62e8e1ca5c8e225c556e0af8,single,47599,0,Because this ensures survival and the is no evidence that suggests the yield gets better when planting the other one.,45704,pilot-1a
