submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemNr,justification,languages,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trialNR
4085,24,,deniedCausation,Higher degree,105914,1659437224669,1659437118755,female,spaceColony,1,NA,Setswana,60954946b22b59747d00217e,62e90037498e78a0e7228fd7,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,39075,0
4085,24,,deniedCausation,Higher degree,105914,1659437224669,1659437118755,female,spaceColony,1,Even though there is no evidence that the other plant is better I think it's better to caltivate both plants. ,Setswana,60954946b22b59747d00217e,62e90037498e78a0e7228fd7,62e8e1ca5c8e225c556e0af8,NA,46702,1
4084,41,,deniedCausation,Graduated College,87708,1659437203775,1659437116067,female,spaceColony,1,NA,English,62ce9f8fac0a19a8ac19ccbc,62e90036cddec6e8ae0211a2,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,32737,0
4084,41,,deniedCausation,Graduated College,87708,1659437203775,1659437116067,female,spaceColony,1,I would choose both as there is a better chance of crops to choose from ,English,62ce9f8fac0a19a8ac19ccbc,62e90036cddec6e8ae0211a2,62e8e1ca5c8e225c556e0af8,NA,23367,1
4083,32,,deniedCausation,Graduated College,859853,1659436960762,1659436100909,female,spaceColony,1,NA,English,5f5f5013f947f6000bd8ddcb,62e8fb6785a8b2bbc0e342b4,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,435848,0
4083,32,,deniedCausation,Graduated College,859853,1659436960762,1659436100909,female,spaceColony,1,"It is better to be safe than sorry, i.e. if both substances together seem to produce a higher yield, despite there being no concrete evidence that the second one has any effect on the first, it seems logical to use both just in case.",English,5f5f5013f947f6000bd8ddcb,62e8fb6785a8b2bbc0e342b4,62e8e1ca5c8e225c556e0af8,NA,342086,1
4082,38,Best of luck,deniedCausation,Graduated College,100326,1659436319091,1659436218765,female,spaceColony,1,NA,English,5b743152fd718d00013d2014,62e8fb6a044ed42be75a8d88,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,34338,0
4082,38,Best of luck,deniedCausation,Graduated College,100326,1659436319091,1659436218765,female,spaceColony,1,It would be better to err on side of caution in case there is a correlation between the two.,English,5b743152fd718d00013d2014,62e8fb6a044ed42be75a8d88,62e8e1ca5c8e225c556e0af8,NA,37877,1
4081,28,no,deniedCausation,Higher degree,267224,1659436208277,1659435941053,female,spaceColony,1,NA,english,60aad516e34718d318bfb44d,62e8fb6e975eb3b30624b5de,62e8e1ca5c8e225c556e0af8,only xeliherb,109496,0
4081,28,no,deniedCausation,Higher degree,267224,1659436208277,1659435941053,female,spaceColony,1,"I chose to cultivate only xeliherb because there was no evidence that the other type of plant would help cultivate a better xeliherb. So, i did not want to waste my time and efforts.",english,60aad516e34718d318bfb44d,62e8fb6e975eb3b30624b5de,62e8e1ca5c8e225c556e0af8,NA,85598,1
4080,38,,deniedCausation,Graduated College,282957,1659436187003,1659435904046,male,spaceColony,1,NA,Zulu,601689ee246e5121a41fb230,62e8fb771d0c94a199c9f883,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,68802,0
4080,38,,deniedCausation,Graduated College,282957,1659436187003,1659435904046,male,spaceColony,1,up until I know that can thrive without another I will grow both plants because from what I know is that they will be a high yield when they coexist. ,Zulu,601689ee246e5121a41fb230,62e8fb771d0c94a199c9f883,62e8e1ca5c8e225c556e0af8,NA,142210,1
4079,35,,deniedCausation,Graduated College,299724,1659436167610,1659435867886,male,spaceColony,1,NA,English,5c7ff97ff94c350001c19cd6,62e8fb5890e589b401087ff9,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,244953,0
4079,35,,deniedCausation,Graduated College,299724,1659436167610,1659435867886,male,spaceColony,1,"Always good to explore, so if that was the only way to do it. You might as well, not harming the other planet",English,5c7ff97ff94c350001c19cd6,62e8fb5890e589b401087ff9,62e8e1ca5c8e225c556e0af8,NA,38154,1
4078,56,Good luck with your research!,deniedCausation,Higher degree,260036,1659436166713,1659435906677,female,spaceColony,1,NA,English,5d667a1a3741ea0001c719b9,62e8fb7c4aaa267ace24b5bc,62e8e1ca5c8e225c556e0af8,only xeliherb,63740,0
