submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemNr,justification,languages,prolific_pid,prolific_session_id,prolific_study_id,reproClass,reproduction,response,responseTime,trialNR
4368,31,No additional comment.,association,Graduated High-school,453218,1665896000496,1665895547278,male,spaceColony,1,NA,English,5b47b4257356580001f34fc3,634b8c762817791329c29f84,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,98957,0
4368,31,No additional comment.,association,Graduated High-school,453218,1665896000496,1665895547278,male,spaceColony,1,I chose this because of the message from the Science team saying A high yield of xeliherb is associated with with the presence of ralocrap. I want to get a high yield of xeliherb so I chose to cultivate both.,English,5b47b4257356580001f34fc3,634b8c762817791329c29f84,62e8e1ca5c8e225c556e0af8,,NA,NA,211205,1
4368,31,No additional comment.,association,Graduated High-school,453218,1665896000496,1665895547278,male,spaceColony,1,NA,English,5b47b4257356580001f34fc3,634b8c762817791329c29f84,62e8e1ca5c8e225c556e0af8,neutral,To achieve high yield of xeliherb need presence of ralocrap.,NA,108957,2
4375,45,,association,Graduated College,376617,1665896417136,1665896040519,female,spaceColony,1,NA,English,570758d5374137000fbb68cd,634b8e5e660b5e67c327c88b,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,65343,0
4375,45,,association,Graduated College,376617,1665896417136,1665896040519,female,spaceColony,1,"If I need a constant supply of xeliherb to survive, and ralocrop is associated with a high yield of xeliherb, I rather have it all together in one place. I don't want to go looking for ralocrop somewhere else in the galaxy, wasting resources to find it...since ralocrop is associated with high yield of xeliherb, I rather have them grow close together and see what happens.",English,570758d5374137000fbb68cd,634b8e5e660b5e67c327c88b,62e8e1ca5c8e225c556e0af8,,NA,NA,165219,1
4375,45,,association,Graduated College,376617,1665896417136,1665896040519,female,spaceColony,1,NA,English,570758d5374137000fbb68cd,634b8e5e660b5e67c327c88b,62e8e1ca5c8e225c556e0af8,neutral,"To survive, colonists must have constant supply of Xeliherb. Ralocrop is associated with a high yield of xeliherb. Ralocrop can be found elsewhere in the galaxy. Ralocrop does take up water and has costs to grow.",NA,116701,2
4363,37,,association,Higher degree,77761,1665895540398,1665895462637,female,spaceColony,1,NA,English,5e402dcd7b260d000a7b69fe,634b8c15610a08e61bfee17e,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,16613,0
4363,37,,association,Higher degree,77761,1665895540398,1665895462637,female,spaceColony,1,Because one does well in the presence of the other and so I want both.,English,5e402dcd7b260d000a7b69fe,634b8c15610a08e61bfee17e,62e8e1ca5c8e225c556e0af8,,NA,NA,17053,1
4363,37,,association,Higher degree,77761,1665895540398,1665895462637,female,spaceColony,1,NA,English,5e402dcd7b260d000a7b69fe,634b8c15610a08e61bfee17e,62e8e1ca5c8e225c556e0af8,neutral,You need to harvest both for the best chance!,NA,30198,2
4371,20,,association,Graduated High-school,132313,1665896123915,1665895991602,male,spaceColony,1,NA,English,602ca79ed37c265997f1688f,634b8e32206255f569c33464,62e8e1ca5c8e225c556e0af8,,NA,both xeliherb and ralocrop,37588,0
