submission_id,chain,condition,experiment_duration,experiment_end_time,experiment_start_time,generation,itemName,itemNr,measure,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trialNR,triggerMessage,variant
16,2,association,185847,1667134400738,1667134214891,1,spaceColony,1,choice,5c4f5967aac8be0001716a65,635e7305252f40b997b527a1,62e8e1ca5c8e225c556e0af8,only xeliherb,39682,0,A high yield of xeliherb is associated with the presence of ralocrop.,1
16,2,association,185847,1667134400738,1667134214891,1,spaceColony,1,justification,5c4f5967aac8be0001716a65,635e7305252f40b997b527a1,62e8e1ca5c8e225c556e0af8,"Cultivating this herb allows for survival, and not cultivating the other resource is rumored to promote the growth.",47428,1,A high yield of xeliherb is associated with the presence of ralocrop.,1
16,2,association,185847,1667134400738,1667134214891,1,spaceColony,1,reproduction,5c4f5967aac8be0001716a65,635e7305252f40b997b527a1,62e8e1ca5c8e225c556e0af8,ralocrop is rumored to promote growth of nearby xeliherb.,76653,2,A high yield of xeliherb is associated with the presence of ralocrop.,1
32,1,association,115617,1667136135563,1667136019946,4,spaceColony,1,choice,62db2644ab0a3a353c0dcb54,635e78b72d2b258504ebfceb,62e8e1ca5c8e225c556e0af8,only xeliherb,56642,0,Ralocrop is associated with Xeliherb,1
32,1,association,115617,1667136135563,1667136019946,4,spaceColony,1,justification,62db2644ab0a3a353c0dcb54,635e78b72d2b258504ebfceb,62e8e1ca5c8e225c556e0af8,It's too costly to do both,8905,1,Ralocrop is associated with Xeliherb,1
32,1,association,115617,1667136135563,1667136019946,4,spaceColony,1,reproduction,62db2644ab0a3a353c0dcb54,635e78b72d2b258504ebfceb,62e8e1ca5c8e225c556e0af8,"Ralocrop is very expensive to cultivate, xeliherb isn't",32030,2,Ralocrop is associated with Xeliherb,1
37,1,association,163746,1667136485757,1667136322011,5,spaceColony,1,choice,62e234304cf51f62d5ee3e48,635e7b1e7895503831b2dabd,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,131962,0,"Ralocrop is very expensive to cultivate, xeliherb isn't",1
17,4,association,158132,1667134405216,1667134247084,1,spaceColony,1,choice,5d1651741ae42000151bc19b,635e7323f0aa2f7f85b2daf5,62e8e1ca5c8e225c556e0af8,only xeliherb,47649,0,A high yield of xeliherb is associated with the presence of ralocrop.,1
17,4,association,158132,1667134405216,1667134247084,1,spaceColony,1,justification,5d1651741ae42000151bc19b,635e7323f0aa2f7f85b2daf5,62e8e1ca5c8e225c556e0af8,I would cultivate only xeliherb because it seems like the best thing to do.,37905,1,A high yield of xeliherb is associated with the presence of ralocrop.,1
17,4,association,158132,1667134405216,1667134247084,1,spaceColony,1,reproduction,5d1651741ae42000151bc19b,635e7323f0aa2f7f85b2daf5,62e8e1ca5c8e225c556e0af8,we have a high value of xeliherb and ralocrop.,56953,2,A high yield of xeliherb is associated with the presence of ralocrop.,1
18,3,association,237115,1667134456777,1667134219662,1,spaceColony,1,choice,57d5ab3a722df500017f3622,635e7303a223098a19d41171,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,91705,0,A high yield of xeliherb is associated with the presence of ralocrop.,1
18,3,association,237115,1667134456777,1667134219662,1,spaceColony,1,justification,57d5ab3a722df500017f3622,635e7303a223098a19d41171,62e8e1ca5c8e225c556e0af8,I didn't want to select one or the other as it could limit choices later down the line should there be any issues with one of the crops.,49838,1,A high yield of xeliherb is associated with the presence of ralocrop.,1
18,3,association,237115,1667134456777,1667134219662,1,spaceColony,1,reproduction,57d5ab3a722df500017f3622,635e7303a223098a19d41171,62e8e1ca5c8e225c556e0af8,They said if there was ralacrop there would be a high yield of zekiherb,66563,2,A high yield of xeliherb is associated with the presence of ralocrop.,1
