submission_id,chain,condition,experiment_duration,experiment_end_time,experiment_start_time,generation,itemName,itemNr,measure,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trialNR,triggerMessage,variant
53,5,association,156386,1667143039074,1667142882688,1,spaceColony,1,choice,,,,both xeliherb and ralocrop,41665,0,A high yield of xeliherb is associated with the presence of ralocrop.,1
53,5,association,156386,1667143039074,1667142882688,1,spaceColony,1,justification,,,,"Because although ralocrop is costly, it will yield the benefits for me with producing xeliherb needed to survive ",25495,1,A high yield of xeliherb is associated with the presence of ralocrop.,1
53,5,association,156386,1667143039074,1667142882688,1,spaceColony,1,reproduction,,,,A high amount of xeliherb is associated with the presence of ralocrop ,78966,2,A high yield of xeliherb is associated with the presence of ralocrop.,1
55,2,association,147315,1667143312928,1667143165613,2,spaceColony,1,choice,,,,both xeliherb and ralocrop,45096,0,In order for a constant supply of the seeds of xeliherb it must coexist with ralocrop,1
55,2,association,147315,1667143312928,1667143165613,2,spaceColony,1,justification,,,,better to trust the earlier colonists because of their experience.,26287,1,In order for a constant supply of the seeds of xeliherb it must coexist with ralocrop,1
55,2,association,147315,1667143312928,1667143165613,2,spaceColony,1,reproduction,,,,xeliherb must coexist with ralocorp in order for a constant supply of seeds,48284,2,In order for a constant supply of the seeds of xeliherb it must coexist with ralocrop,1
58,4,association,163774,1667143659190,1667143495416,2,spaceColony,1,choice,,,,both xeliherb and ralocrop,46683,0,I don't get it lol,1
58,4,association,163774,1667143659190,1667143495416,2,spaceColony,1,justification,,,,Because the message left behind gave information that both were important.,15731,1,I don't get it lol,1
58,4,association,163774,1667143659190,1667143495416,2,spaceColony,1,reproduction,,,,You must plant only xeliherb. You need a constant supply to survive. Ralocrop takes up too much water,76927,2,I don't get it lol,1
59,4,association,181124,1667143711597,1667143530473,2,spaceColony,1,choice,,,,both xeliherb and ralocrop,139342,0,I don't get it lol,1
60,1,association,455340,1667144176000,1667143720660,3,spaceColony,1,choice,,,,both xeliherb and ralocrop,4041,0,Ralocrop requires constant supplies of xeliherb to grow.,1
60,1,association,455340,1667144176000,1667143720660,3,spaceColony,1,justification,,,,It is safer to take on board the message from mission control rather than that from earlier colonists. The message from the earlier colonists is unhelpful and meaningless. Despite the fact that one of the crops is more difficult to produce it is advisable to rely on crops of 2 different plants than on one in case of failure of either crop.,307443,1,Ralocrop requires constant supplies of xeliherb to grow.,1
60,1,association,455340,1667144176000,1667143720660,3,spaceColony,1,reproduction,,,,I don’t get it..LOL,86290,2,Ralocrop requires constant supplies of xeliherb to grow.,1
