submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemNr,languages,measure,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trialNR
174,20,,intervention,Graduated High-school,53199,1667318342316,1667318289117,female,spaceColony,1,English,choice,62b1f2bfcec5a48852005c5f,636141f8eb750d81da0b4364,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,14201,0
174,20,,intervention,Graduated High-school,53199,1667318342316,1667318289117,female,spaceColony,1,English,justification,62b1f2bfcec5a48852005c5f,636141f8eb750d81da0b4364,62e8e1ca5c8e225c556e0af8,I think they both serve a good purpose,8732,1
174,20,,intervention,Graduated High-school,53199,1667318342316,1667318289117,female,spaceColony,1,English,relation,62b1f2bfcec5a48852005c5f,636141f8eb750d81da0b4364,62e8e1ca5c8e225c556e0af8,Cultivation of ralocrop is easy and cheap.,14195,2
174,20,,intervention,Graduated High-school,53199,1667318342316,1667318289117,female,spaceColony,1,English,ralocrop,62b1f2bfcec5a48852005c5f,636141f8eb750d81da0b4364,62e8e1ca5c8e225c556e0af8,intervention,4066,3
113,33,,observation,Graduated College,273831,1667310144686,1667309870855,male,spaceColony,1,English ,choice,57dd3b0e91b7fc0001493db9,63612129f1e26397504226c9,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,119022,0
113,33,,observation,Graduated College,273831,1667310144686,1667309870855,male,spaceColony,1,English ,justification,57dd3b0e91b7fc0001493db9,63612129f1e26397504226c9,62e8e1ca5c8e225c556e0af8,"Cultivating both suggests that a higher yield of xeliherb will be obtained, this would give a higher chance of survival.",56075,1
113,33,,observation,Graduated College,273831,1667310144686,1667309870855,male,spaceColony,1,English ,relation,57dd3b0e91b7fc0001493db9,63612129f1e26397504226c9,62e8e1ca5c8e225c556e0af8,"Cultivation of ralocrop is costly (water, energy resources).",49536,2
113,33,,observation,Graduated College,273831,1667310144686,1667309870855,male,spaceColony,1,English ,ralocrop,57dd3b0e91b7fc0001493db9,63612129f1e26397504226c9,62e8e1ca5c8e225c556e0af8,observation,14136,3
110,54,n/a,observation,Graduated College,145579,1667310024393,1667309878814,male,spaceColony,1,English,choice,57ea425e5b88f5000106bb9f,6361212c38072809a0f54ca8,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,45168,0
110,54,n/a,observation,Graduated College,145579,1667310024393,1667309878814,male,spaceColony,1,English,justification,57ea425e5b88f5000106bb9f,6361212c38072809a0f54ca8,62e8e1ca5c8e225c556e0af8,"Xeliherb grows only sparsely, so we would need the other plant to increase the yield. ",31395,1
110,54,n/a,observation,Graduated College,145579,1667310024393,1667309878814,male,spaceColony,1,English,relation,57ea425e5b88f5000106bb9f,6361212c38072809a0f54ca8,62e8e1ca5c8e225c556e0af8,"Cultivation of ralocrop is costly (water, energy resources).",21535,2
110,54,n/a,observation,Graduated College,145579,1667310024393,1667309878814,male,spaceColony,1,English,ralocrop,57ea425e5b88f5000106bb9f,6361212c38072809a0f54ca8,62e8e1ca5c8e225c556e0af8,association,25386,3
111,40,,observation,Higher degree,177822,1667310045851,1667309868029,male,spaceColony,1,English,choice,5755c957eb80c4000741a9ce,6361212af04b329738f93fce,62e8e1ca5c8e225c556e0af8,both xeliherb and ralocrop,54748,0
