submission_id,age,attentionCheck,attentionCheckResult,comments,decision1,decision2,education,experiment_duration,experiment_end_time,experiment_start_time,gender,informationSource,itemName,itemNr,languages,probs,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialNR
180,40,,,,88,NA,Graduated College,197091,1737469783366,1737469586275,male,indirect,spaceColony,2,English,,63653d622710a591f401a6be,678fae899630455b2b01da73,678fa756c9e0ff6fadc7cc16,16227,0
180,40,,,,NA,91,Graduated College,197091,1737469783366,1737469586275,male,indirect,spaceColony,2,English,,63653d622710a591f401a6be,678fae899630455b2b01da73,678fa756c9e0ff6fadc7cc16,8402,0
181,27,,,no,71,NA,Higher degree,265508,1737469844357,1737469578849,female,indirect,spaceColony,2,english,,678e3d2b52cbdec85c34cb00,678fae7c842273357389e777,678fa756c9e0ff6fadc7cc16,5590,0
181,27,,,no,NA,59,Higher degree,265508,1737469844357,1737469578849,female,indirect,spaceColony,2,english,,678e3d2b52cbdec85c34cb00,678fae7c842273357389e777,678fa756c9e0ff6fadc7cc16,4633,0
182,25,,,,20,NA,Graduated College,237248,1737469870897,1737469633649,female,direct,spaceColony,1,English,,5f0392eaa2ece25aa44014f8,678faeb8d1b45eac4333dcc5,678fa756c9e0ff6fadc7cc16,27037,0
182,25,,,,NA,70,Graduated College,237248,1737469870897,1737469633649,female,direct,spaceColony,1,English,,5f0392eaa2ece25aa44014f8,678faeb8d1b45eac4333dcc5,678fa756c9e0ff6fadc7cc16,12202,0
183,28,,,,14,NA,Graduated High-school,214023,1737469859263,1737469645240,male,indirect,spaceColony,2,English,,5c478dae685da800014c8119,678faed6ec6e76c729e8d839,678fa756c9e0ff6fadc7cc16,39668,0
183,28,,,,NA,38,Graduated High-school,214023,1737469859263,1737469645240,male,indirect,spaceColony,2,English,,5c478dae685da800014c8119,678faed6ec6e76c729e8d839,678fa756c9e0ff6fadc7cc16,9999,0
184,36,,,,65,NA,Graduated College,126489,1737469909883,1737469783394,male,indirect,spaceColony,2,English,,5e9b1378b0f218000c570018,678faf3478490a89c9a8a242,678fa756c9e0ff6fadc7cc16,14270,0
184,36,,,,NA,80,Graduated College,126489,1737469909883,1737469783394,male,indirect,spaceColony,2,English,,5e9b1378b0f218000c570018,678faf3478490a89c9a8a242,678fa756c9e0ff6fadc7cc16,7239,0
185,64,,,,90,NA,Higher degree,198446,1737470051631,1737469853185,male,indirect,spaceColony,2,English,,5d67b551d25e31001ab60fe0,678faf93dd172e1ef3e04f29,678fa756c9e0ff6fadc7cc16,17096,0
185,64,,,,NA,90,Higher degree,198446,1737470051631,1737469853185,male,indirect,spaceColony,2,English,,5d67b551d25e31001ab60fe0,678faf93dd172e1ef3e04f29,678fa756c9e0ff6fadc7cc16,7600,0
186,34,,,,25,NA,Higher degree,108049,1737470060364,1737469952315,male,direct,spaceColony,1,English,,5e3b3ec545318835d9a7d887,678faff75724d8ef20ec2b44,678fa756c9e0ff6fadc7cc16,9549,0
186,34,,,,NA,90,Higher degree,108049,1737470060364,1737469952315,male,direct,spaceColony,1,English,,5e3b3ec545318835d9a7d887,678faff75724d8ef20ec2b44,678fa756c9e0ff6fadc7cc16,7820,0
