submission_id,age,attentionCheck,attentionCheckResult,comments,decision1,decision2,education,experiment_duration,experiment_end_time,experiment_start_time,gender,informationSource,itemName,itemNr,languages,probs,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialNR
524,29,,,,50,NA,Graduated College,87020,1739366775369,1739366688349,male,direct,,1,english,,670fe2bebfbaefccb42e7aaa,67aca118171fb14c5ec4614d,67ac94cc580e0fd8d3bb8a3c,9998,0
524,29,,,,NA,100,Graduated College,87020,1739366775369,1739366688349,male,direct,,1,english,,670fe2bebfbaefccb42e7aaa,67aca118171fb14c5ec4614d,67ac94cc580e0fd8d3bb8a3c,4222,0
547,32,,,,60,NA,Higher degree,127581,1739366785228,1739366657647,male,indirect,,2,English ,,67780c3c21fa6d6bc741de92,67aca0f75bc55964c09f98a3,67ac94cc580e0fd8d3bb8a3c,11008,0
547,32,,,,NA,64,Higher degree,127581,1739366785228,1739366657647,male,indirect,,2,English ,,67780c3c21fa6d6bc741de92,67aca0f75bc55964c09f98a3,67ac94cc580e0fd8d3bb8a3c,5954,0
561,34,,,,20,NA,Higher degree,131430,1739366792775,1739366661345,female,direct,,1,English,,6669b12d7454f7e1e6b2a854,67aca0f848ddc8bebe25f6ca,67ac94cc580e0fd8d3bb8a3c,9152,0
561,34,,,,NA,90,Higher degree,131430,1739366792775,1739366661345,female,direct,,1,English,,6669b12d7454f7e1e6b2a854,67aca0f848ddc8bebe25f6ca,67ac94cc580e0fd8d3bb8a3c,8198,0
583,57,,,,72,NA,Graduated College,139801,1739366796767,1739366656966,male,direct,,1,"English, Afrikaans",,5d2b08784588590018cf70bb,67aca0f0cd46fdb5b3070550,67ac94cc580e0fd8d3bb8a3c,12034,0
583,57,,,,NA,99,Graduated College,139801,1739366796767,1739366656966,male,direct,,1,"English, Afrikaans",,5d2b08784588590018cf70bb,67aca0f0cd46fdb5b3070550,67ac94cc580e0fd8d3bb8a3c,7845,0
513,61,,,,14,NA,Graduated High-school,154404,1739366823064,1739366668660,female,indirect,,2,english,,63a0ba2b090476e91839f62e,67aca10400e422568df461a8,67ac94cc580e0fd8d3bb8a3c,8113,0
513,61,,,,NA,67,Graduated High-school,154404,1739366823064,1739366668660,female,indirect,,2,english,,63a0ba2b090476e91839f62e,67aca10400e422568df461a8,67ac94cc580e0fd8d3bb8a3c,5699,0
507,79,,,,81,NA,Graduated College,168707,1739366854231,1739366685524,male,indirect,,2,English,,5706296bac75a4000f94a28d,67aca111ecf87f4eb27e2e0d,67ac94cc580e0fd8d3bb8a3c,17882,0
507,79,,,,NA,96,Graduated College,168707,1739366854231,1739366685524,male,indirect,,2,English,,5706296bac75a4000f94a28d,67aca111ecf87f4eb27e2e0d,67ac94cc580e0fd8d3bb8a3c,15606,0
478,39,,,,16,NA,Graduated High-school,186807,1739366879677,1739366692870,male,direct,,1,english,,583c7c44164cd30001c345d6,67aca11914717ea2eacf1f19,67ac94cc580e0fd8d3bb8a3c,14170,0
478,39,,,,NA,56,Graduated High-school,186807,1739366879677,1739366692870,male,direct,,1,english,,583c7c44164cd30001c345d6,67aca11914717ea2eacf1f19,67ac94cc580e0fd8d3bb8a3c,11477,0
479,31,,,Interesting study,15,NA,Higher degree,148556,1739366923346,1739366774790,female,direct,,1,English,,572f8258ad13160010008a61,67aca16ca18cace25c82a9b8,67ac94cc580e0fd8d3bb8a3c,15318,0
479,31,,,Interesting study,NA,70,Higher degree,148556,1739366923346,1739366774790,female,direct,,1,English,,572f8258ad13160010008a61,67aca16ca18cace25c82a9b8,67ac94cc580e0fd8d3bb8a3c,6143,0
480,23,,,,21,NA,Graduated College,159718,1739366922972,1739366763254,female,direct,,1,English,,5ff8442a0d726a59d5325267,67aca14e90206ff885a007b3,67ac94cc580e0fd8d3bb8a3c,10193,0
480,23,,,,NA,77,Graduated College,159718,1739366922972,1739366763254,female,direct,,1,English,,5ff8442a0d726a59d5325267,67aca14e90206ff885a007b3,67ac94cc580e0fd8d3bb8a3c,6089,0
481,30,,,,31,NA,Higher degree,114904,1739366925273,1739366810369,male,direct,,1,English,,67838ffbade9ade16f6faa70,67aca196b505db2b5d73e9d7,67ac94cc580e0fd8d3bb8a3c,14742,0
481,30,,,,NA,85,Higher degree,114904,1739366925273,1739366810369,male,direct,,1,English,,67838ffbade9ade16f6faa70,67aca196b505db2b5d73e9d7,67ac94cc580e0fd8d3bb8a3c,10740,0
482,31,,,,80,NA,Graduated College,157131,1739366933076,1739366775945,female,indirect,,2,English ,,6776b2f6d81255b031c95eae,67aca16b354eb70809af436c,67ac94cc580e0fd8d3bb8a3c,19524,0
482,31,,,,NA,86,Graduated College,157131,1739366933076,1739366775945,female,indirect,,2,English ,,6776b2f6d81255b031c95eae,67aca16b354eb70809af436c,67ac94cc580e0fd8d3bb8a3c,17996,0
483,32,,,,11,NA,Graduated High-school,116260,1739366936966,1739366820706,female,indirect,,2,English ,,5aea25acd9f2be0001933493,67aca199d891f6a58673e9ba,67ac94cc580e0fd8d3bb8a3c,11986,0
483,32,,,,NA,65,Graduated High-school,116260,1739366936966,1739366820706,female,indirect,,2,English ,,5aea25acd9f2be0001933493,67aca199d891f6a58673e9ba,67ac94cc580e0fd8d3bb8a3c,7380,0
484,64,,,,12,NA,Higher degree,241388,1739366949076,1739366707688,female,direct,,1,English,,5c79c84a54c5d600175fd005,67aca11f3e0baf4356ebee97,67ac94cc580e0fd8d3bb8a3c,10294,0
484,64,,,,NA,37,Higher degree,241388,1739366949076,1739366707688,female,direct,,1,English,,5c79c84a54c5d600175fd005,67aca11f3e0baf4356ebee97,67ac94cc580e0fd8d3bb8a3c,13107,0
485,24,,,,42,NA,Graduated College,128651,1739366951744,1739366823093,male,indirect,,2,English,,6101e16e46ab830d098f1436,67aca1a311cf8e94d1b9cdbc,67ac94cc580e0fd8d3bb8a3c,9879,0
485,24,,,,NA,68,Graduated College,128651,1739366951744,1739366823093,male,indirect,,2,English,,6101e16e46ab830d098f1436,67aca1a311cf8e94d1b9cdbc,67ac94cc580e0fd8d3bb8a3c,4440,0
486,34,,,,23,NA,Graduated College,115409,1739366957080,1739366841671,female,indirect,,2,English,,67730610494c7699138eda38,67aca1abf3161f406a548ec4,67ac94cc580e0fd8d3bb8a3c,11352,0
486,34,,,,NA,4,Graduated College,115409,1739366957080,1739366841671,female,indirect,,2,English,,67730610494c7699138eda38,67aca1abf3161f406a548ec4,67ac94cc580e0fd8d3bb8a3c,4720,0
488,25,,,,16,NA,Higher degree,153855,1739366969568,1739366815713,male,direct,,1,English,,67730189e3ebfb022ba1cfae,67aca191cb9dfd2c92debaad,67ac94cc580e0fd8d3bb8a3c,15248,0
488,25,,,,NA,30,Higher degree,153855,1739366969568,1739366815713,male,direct,,1,English,,67730189e3ebfb022ba1cfae,67aca191cb9dfd2c92debaad,67ac94cc580e0fd8d3bb8a3c,16917,0
489,32,,,,20,NA,Graduated College,184990,1739366974292,1739366789302,female,direct,,1,English,,5ae1e99638df950001454b0e,67aca16849b8ade4c204a5b4,67ac94cc580e0fd8d3bb8a3c,14526,0
489,32,,,,NA,50,Graduated College,184990,1739366974292,1739366789302,female,direct,,1,English,,5ae1e99638df950001454b0e,67aca16849b8ade4c204a5b4,67ac94cc580e0fd8d3bb8a3c,9038,0
491,29,,,No comment,100,NA,Higher degree,190955,1739366976786,1739366785831,female,indirect,,2,"English, French and Yoruba",,6659f710cfb4cac678381a25,67aca16a5819345b13ea3d58,67ac94cc580e0fd8d3bb8a3c,9936,0
491,29,,,No comment,NA,100,Higher degree,190955,1739366976786,1739366785831,female,indirect,,2,"English, French and Yoruba",,6659f710cfb4cac678381a25,67aca16a5819345b13ea3d58,67ac94cc580e0fd8d3bb8a3c,9688,0
492,24,,,,55,NA,Higher degree,153142,1739366989825,1739366836683,female,direct,,1,English,,6762e3b57392fa8565664b52,67aca1ada2cb8bde5314f0c6,67ac94cc580e0fd8d3bb8a3c,12760,0
492,24,,,,NA,75,Higher degree,153142,1739366989825,1739366836683,female,direct,,1,English,,6762e3b57392fa8565664b52,67aca1ada2cb8bde5314f0c6,67ac94cc580e0fd8d3bb8a3c,8936,0
493,18,,,,1,NA,Graduated High-school,191333,1739366998487,1739366807154,male,indirect,,2,English,,672686197f191ae3064f2fb6,67aca172d6a7d4e106c2d2e9,67ac94cc580e0fd8d3bb8a3c,17866,0
493,18,,,,NA,30,Graduated High-school,191333,1739366998487,1739366807154,male,indirect,,2,English,,672686197f191ae3064f2fb6,67aca172d6a7d4e106c2d2e9,67ac94cc580e0fd8d3bb8a3c,9784,0
