submission_id,age,attentionCheck,attentionCheckResult,comments,decision1,decision2,education,experiment_duration,experiment_end_time,experiment_start_time,gender,informationSource,itemName,itemNr,languages,probs,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialNR
658,52,,,,59,NA,Graduated High-school,125805,1741080317754,1741080191949,male,direct,,1,English,,5e8a042b88674a69d75f7347,67c6c676e872087d0abbd49f,67c62bc86905929499aa0a0d,13202,0
658,52,,,,NA,93,Graduated High-school,125805,1741080317754,1741080191949,male,direct,,1,English,,5e8a042b88674a69d75f7347,67c6c676e872087d0abbd49f,67c62bc86905929499aa0a0d,7511,0
659,31,,,,25,NA,Graduated College,151392,1741080340853,1741080189461,female,direct,,1,English,,660c01c0c6ad60e39166f4b2,67c6c676f7411799ef9f9023,67c62bc86905929499aa0a0d,16724,0
659,31,,,,NA,75,Graduated College,151392,1741080340853,1741080189461,female,direct,,1,English,,660c01c0c6ad60e39166f4b2,67c6c676f7411799ef9f9023,67c62bc86905929499aa0a0d,9236,0
664,60,,,,59,NA,Graduated High-school,189664,1741080328938,1741080139274,male,direct,,1,English,,5863ab01ac950900013dd9dd,67c6c6bba2aede43f4d15c33,67c62bc86905929499aa0a0d,19336,0
664,60,,,,NA,60,Graduated High-school,189664,1741080328938,1741080139274,male,direct,,1,English,,5863ab01ac950900013dd9dd,67c6c6bba2aede43f4d15c33,67c62bc86905929499aa0a0d,17901,0
660,31,,,,60,NA,Higher degree,111147,1741080376216,1741080265069,female,direct,,1,English,,603fd039c2453f10aaa3ae6e,67c6c6c287972f26c0143a34,67c62bc86905929499aa0a0d,8333,0
660,31,,,,NA,100,Higher degree,111147,1741080376216,1741080265069,female,direct,,1,English,,603fd039c2453f10aaa3ae6e,67c6c6c287972f26c0143a34,67c62bc86905929499aa0a0d,6782,0
661,39,,,,84,NA,Graduated College,137376,1741080385579,1741080248203,female,direct,,1,English,,599bb8b9a7b24000015237f6,67c6c6ad87ee886e2187d206,67c62bc86905929499aa0a0d,7717,0
661,39,,,,NA,100,Graduated College,137376,1741080385579,1741080248203,female,direct,,1,English,,599bb8b9a7b24000015237f6,67c6c6ad87ee886e2187d206,67c62bc86905929499aa0a0d,7118,0
662,28,,,,65,NA,Higher degree,152718,1741080417010,1741080264292,male,direct,,1,English,,6636dacacb363670ddb95ff7,67c6c6bed902269f8ed62e14,67c62bc86905929499aa0a0d,17970,0
662,28,,,,NA,80,Higher degree,152718,1741080417010,1741080264292,male,direct,,1,English,,6636dacacb363670ddb95ff7,67c6c6bed902269f8ed62e14,67c62bc86905929499aa0a0d,5924,0
663,42,,,,27,NA,Graduated College,249368,1741080444197,1741080194829,female,direct,,1,english,,562a00dac8ffc20012513fbe,67c6c672352ad85510c6748c,67c62bc86905929499aa0a0d,30247,0
663,42,,,,NA,50,Graduated College,249368,1741080444197,1741080194829,female,direct,,1,english,,562a00dac8ffc20012513fbe,67c6c672352ad85510c6748c,67c62bc86905929499aa0a0d,7497,0
665,43,,,,50,NA,Higher degree,264863,1741080451859,1741080186996,male,direct,,1,english,,5c7809d56b48600015a573f6,67c6c670e872087d0abbd49d,67c62bc86905929499aa0a0d,29519,0
665,43,,,,NA,100,Higher degree,264863,1741080451859,1741080186996,male,direct,,1,english,,5c7809d56b48600015a573f6,67c6c670e872087d0abbd49d,67c62bc86905929499aa0a0d,13754,0
666,46,,,,50,NA,Graduated College,138906,1741080464759,1741080325853,male,direct,,1,English,,62c428077a100bb125ebb569,67c6c6fea2414f8a03aab6a6,67c62bc86905929499aa0a0d,5614,0
666,46,,,,NA,50,Graduated College,138906,1741080464759,1741080325853,male,direct,,1,English,,62c428077a100bb125ebb569,67c6c6fea2414f8a03aab6a6,67c62bc86905929499aa0a0d,4981,0
667,62,,,,80,NA,Graduated College,244919,1741080578661,1741080333742,male,direct,,1,English,,66f3521a14a392b565c352cc,67c6c7043399a571801c65d1,67c62bc86905929499aa0a0d,24432,0
667,62,,,,NA,100,Graduated College,244919,1741080578661,1741080333742,male,direct,,1,English,,66f3521a14a392b565c352cc,67c6c7043399a571801c65d1,67c62bc86905929499aa0a0d,6935,0
668,34,,,,100,NA,Higher degree,404796,1741080750972,1741080346176,male,direct,,1,English,,67c60624d6bb6ea51def1516,67c6c6d6e3dd238f383cea92,67c62bc86905929499aa0a0d,53841,0
668,34,,,,NA,95,Higher degree,404796,1741080750972,1741080346176,male,direct,,1,English,,67c60624d6bb6ea51def1516,67c6c6d6e3dd238f383cea92,67c62bc86905929499aa0a0d,3333,0
669,41,,,Nice images. They were amazing.,75,NA,Higher degree,302374,1741081129699,1741080827325,male,direct,,1,English,,678fdad15a9daf7e2371f6cb,67c6c8b52b529425dfa81912,67c62bc86905929499aa0a0d,23380,0
669,41,,,Nice images. They were amazing.,NA,70,Higher degree,302374,1741081129699,1741080827325,male,direct,,1,English,,678fdad15a9daf7e2371f6cb,67c6c8b52b529425dfa81912,67c62bc86905929499aa0a0d,28156,0
